aircraft,aircraftLabel,engine,engineLabel,maxAltitude,price,totalProduced
http://www.wikidata.org/entity/Q932091,Як-52,http://www.wikidata.org/entity/Q474611,М-14П,,,1800
http://www.wikidata.org/entity/Q141640,Fiat CR.42 Falco,http://www.wikidata.org/entity/Q15142881,Fiat A.74 R1C.38,,,1782
http://www.wikidata.org/entity/Q751759,Локхид F-80 «Шутинг стар»,http://www.wikidata.org/entity/Q477394,J33,,,1732
http://www.wikidata.org/entity/Q1759739,Robin DR-400,http://www.wikidata.org/entity/Q15896245,IO-360,,,1712
http://www.wikidata.org/entity/Q1759739,Robin DR-400,http://www.wikidata.org/entity/Q19360046,Lycoming O-360-A3A,,,1712
http://www.wikidata.org/entity/Q994007,Fairey Firefly,http://www.wikidata.org/entity/Q2164325,Rolls-Royce Griffon,,,1702
http://www.wikidata.org/entity/Q21697671,Curtiss SB2C-3 Helldiver,http://www.wikidata.org/entity/Q21684983,R-2600-20 Twin Cyclone,,,1675
http://www.wikidata.org/entity/Q130681,МиГ-29,http://www.wikidata.org/entity/Q1193142,РД-33,18013,,1600
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,,1600
http://www.wikidata.org/entity/Q248224,LTV A-7 Corsair II,http://www.wikidata.org/entity/Q4269578,Allison TF41,,,1569
http://www.wikidata.org/entity/Q1112841,ДБ-3,http://www.wikidata.org/entity/Q2440838,М-87,,,1528
http://www.wikidata.org/entity/Q192779,Ту-16,http://www.wikidata.org/entity/Q839981,АМ-3,,,1509
http://www.wikidata.org/entity/Q1056131,Cessna 208,http://www.wikidata.org/entity/Q15643532,PT6A-114,7745,,1500
http://www.wikidata.org/entity/Q1056131,Cessna 208,http://www.wikidata.org/entity/Q15643532,PT6A-114,27600,,1500
http://www.wikidata.org/entity/Q219764,ATR 72,http://www.wikidata.org/entity/Q1352680,PW100,,,1500
http://www.wikidata.org/entity/Q403668,Aichi D3A,http://www.wikidata.org/entity/Q2723523,Mitsubishi Kinsei,,,1495
http://www.wikidata.org/entity/Q46397,McDonnell Douglas F/A-18 Hornet,http://www.wikidata.org/entity/Q947434,General Electric F404,15250,,1480
http://www.wikidata.org/entity/Q794571,Sud-Aviation Lama,http://www.wikidata.org/entity/Q106255978,Artouste IIIB,13125,,1450
http://www.wikidata.org/entity/Q843413,Kawanishi N1K-J Shiden,http://www.wikidata.org/entity/Q502048,бензиновый двигатель внутреннего сгорания,,,1435
http://www.wikidata.org/entity/Q140254,Messerschmitt Me.262,http://www.wikidata.org/entity/Q695801,Junkers Jumo 004,11450,,1433
http://www.wikidata.org/entity/Q234371,Дассо Мираж III,http://www.wikidata.org/entity/Q923665,Atar,59000,,1422
http://www.wikidata.org/entity/Q210338,Aichi E13A,http://www.wikidata.org/entity/Q64232662,Kinsei 43,8370,,1418
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q106295324,AI-24T,24600,,1403
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q15052176,Ivchenko AI-24VT,24600,,1403
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q9070485,Rolls-Royce Trent 700,41100,,1378
