aircraft,aircraftLabel,engine,engineLabel,maxAltitude,totalProduced
http://www.wikidata.org/entity/Q220529,МиГ-35,http://www.wikidata.org/entity/Q1193142,РД-33,17500,6
http://www.wikidata.org/entity/Q381200,Aero A.10,http://www.wikidata.org/entity/Q3853166,Maybach Mb.IVa,5800,5
http://www.wikidata.org/entity/Q381200,Aero A.10,http://www.wikidata.org/entity/Q3853166,Maybach Mb.IVa,19029,5
http://www.wikidata.org/entity/Q729056,Норт Американ XB-70 «Валькирия»,http://www.wikidata.org/entity/Q641962,General Electric YJ93,23576,2
http://www.wikidata.org/entity/Q589357,ДАР-10,http://www.wikidata.org/entity/Q3610946,Alfa Romeo 125,7250,2
http://www.wikidata.org/entity/Q589357,ДАР-10,http://www.wikidata.org/entity/Q3610946,Alfa Romeo 125,23785,2
http://www.wikidata.org/entity/Q589357,ДАР-10,http://www.wikidata.org/entity/Q3744424,Fiat A.74,7250,2
http://www.wikidata.org/entity/Q589357,ДАР-10,http://www.wikidata.org/entity/Q3744424,Fiat A.74,23785,2
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25908,2
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25929,2
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25908,1
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25929,1
http://www.wikidata.org/entity/Q4450165,Lockheed YP-24,http://www.wikidata.org/entity/Q113244840,V-1570-23 Conqueror,7620,1
